Pixels	Line 8	Line 7	Line 6	Line 5	Line 4	Line 3	Line 2	Line 1
349.000	143.321	15.656	77.976	38.268	37.970	482.672	117.456	217.310
350.000	130.012	53.160	109.945	32.256	125.756	492.261	103.466	111.774
351.000	41.996	60.279	79.862	9.478	140.447	460.252	284.903	256.491
352.000	69.606	115.581	15.886	23.893	100.445	323.253	143.206	412.295
353.000	344.052	92.578	48.014	84.498	154.028	178.656	17.543	69.044
354.000	353.242	145.991	74.521	123.816	9.657	144.827	42.498	91.375
355.000	288.826	64.548	64.007	111.468	37.614	148.097	110.148	69.365
356.000	337.283	171.505	167.859	99.866	49.157	90.730	221.312	68.085
357.000	354.513	177.625	155.108	92.114	47.414	231.916	305.628	56.809
358.000	619.950	150.692	128.039	309.691	54.434	288.826	287.024	124.353
359.000	332.691	60.956	130.122	58.347	82.997	207.049	193.932	50.520
360.000	385.507	52.879	310.031	91.098	47.347	354.149	138.510	73.690
361.000	316.865	36.149	345.306	190.054	22.913	189.522	109.440	297.417
362.000	124.892	109.339	233.831	125.973	11.312	187.403	32.476	235.309
363.000	148.215	138.396	287.024	87.271	11.409	162.157	39.108	244.879
364.000	297.417	326.907	359.070	110.148	276.014	196.494	45.898	289.975
365.000	205.109	166.736	103.466	52.949	162.403	219.449	45.117	341.729
366.000	235.161	204.971	145.060	30.366	132.556	282.140	53.442	87.451
367.000	64.781	226.075	163.882	47.747	139.306	137.376	302.599	123.065
368.000	218.307	234.569	341.194	66.187	349.263	173.152	298.750	105.439
369.000	294.263	132.778	137.716	28.688	256.491	302.431	186.084	467.527
370.000	146.808	68.005	88.356	102.194	182.286	648.137	179.818	169.363
371.000	68.803	95.385	9.777	202.904	244.426	492.689	153.908	68.483
372.000	102.682	32.256	35.686	76.449	84.498	269.955	310.541	114.546
373.000	63.391	47.082	51.623	41.746	70.738	189.257	128.039	263.180
374.000	86.910	127.712	21.998	83.702	48.685	55.507	86.192	95.479
375.000	83.261	302.263	28.843	112.285	92.485	93.322	77.635	188.726
376.000	144.247	90.179	6.664	201.805	257.574	139.306	86.282	290.304
377.000	109.541	74.521	66.580	176.983	586.999	156.071	157.158	590.043
378.000	228.257	164.748	432.325	124.676	26.858	98.712	176.469	285.392
379.000	174.679	242.619	90.363	107.931	292.941	167.360	79.087	167.859
380.000	161.053	297.084	169.238	231.916	257.729	293.271	70.576	253.716
